id_pais;nome
1;BRASIL
2;ANTÍGUA E BARBUDA
3;ARGENTINA
4;BOLÍVIA
5;CHILE
6;COLÔMBIA
7;EQUADOR
8;GUIANA FRANCESA
9;GUIANA (GUIANA INGLESA)
10;PARAGUAI
11;PERU
12;SURINAME
13;URUGUAI
14;VENEZUELA
15;COSTA RICA
16;JAMAICA
17;BARBADOS
18;BAHAMAS
19;CUBA
20;BELIZE
21;GRANADA
22;EL SALVADOR
23;DOMINICA
24;HAITI
25;GUATEMALA
26;NICARÁGUA
27;HONDURAS
28;REPÚBLICA DOMINICANA
29;PANAMÁ
30;SANTA LÚCIA
31;SÃO CRISTOVÃO E NÉVIS
32;SÃO VICENTE E GRANADINAS
33;TRINIDAD E TOBAGO
34;BOTSUANA
35;CONGO
36;COSTA DO MARFIM
37;FIJI
38;LIBÉRIA
39;MAURITÂNIA
40;REPÚBLICA DEMOCRÁTICA DO CONGO
41;UGANDA
42;ZÂMBIA
43;AZERBAIDJÃO
44;BULGÁRIA
45;DJIBUTI
46;GABÃO
47;REPÚBLICA CENTRO AFRICANA
48;JORDÂNIA
49;MÉXICO
50;UCRÂNIA
51;ARÁBIA SAUDITA
52;CANADÁ
53;CINGAPURA
54;EMIRADOS ÁRABES
55;MAURÍCIO
56;SUAZILÂNDIA
57;VANUATU
58;ANGOLA
59;CAZAQUISTÃO
60;CROÁCIA
61;ISLÂNDIA
62;CORÉIA DO SUL
63;DINAMARCA
64;ESTADOS UNIDOS DA AMÉRICA
65;MADAGÁSCAR
66;GUINÉ-EQUATORIAL
67;MALÍ
68;ALBÂNIA
69;ARGÉLIA
70;BURUNDI
71;CABO VERDE
72;CAMARÕES
73;CHADE
74;ERITRÉIA
75;ETIÓPIA
76;ILHAS MARSHALL
77;KIRIBATI
78;LESOTO
79;MALAUÍ
80;MICRONÉSIA
81;MOLDÁVIA
82;NÍGER
83;PALAU
84;PAPUA NOVA GUINÉ
85;PAQUISTÃO
86;SÃO TOMÉ E PRÍNCIPE
87;TANZÂNIA
88;ÁFRICA DO SUL
89;AUSTRÁLIA
90;BÓSNIA-HERZEGÓVINA
91;CAMBOJA
92;EGITO
93;GANA
94;GEÓRGIA
95;HUNGRIA
96;IÊMEN
97;ÍNDIA
98;LÍBIA
99;MACEDÔNIA
100;MOÇAMBIQUE
101;NIGÉRIA
102;NOVA ZELÂNDIA
103;PORTO RICO
104;ANTÁRTICA
105;ILHAS TURKS E CAICOS
106;BERMUDAS
107;ILHAS GALÁPAGOS
108;AFEGANISTÃO
109;ARMÊNIA
110;BANGLADESH
111;BURKINA-FASSO
112;BUTÃO
113;COMORES
114;BENIN
115;FILIPINAS
116;GÂMBIA
117;IRÃ
118;LAOS
119;LÍBANO
120;MONGÓLIA
121;NAURU
122;NEPAL
123;SALOMÃO
124;SAMOA
125;SERRA LEOA
126;SRI LANKA
127;TADJIQUISTÃO
128;TONGA
129;TUNÍSIA
130;TUVALU
131;ZIMBÁBUE
132;BELARUS
133;GUINÉ BISSAU
134;INDONÉSIA
135;IRAQUE
136;MALÁSIA
137;MARROCOS
138;NAMÍBIA
139;SÍRIA
140;SOMÁLIA
141;TAILÂNDIA
142;TIMOR LESTE
143;TURCOMENISTÃO
144;TURQUIA
145;VIETNÃ
146;MALDIVAS
147;REPÚBLICA POPULAR DEMOCRÁTICA DA CORÉIA
148;GUINÉ
149;MYANMAR
150;REPÚBLICA TOGOLESA
151;POLÔNIA
152;QUÊNIA
153;ROMÊNIA
154;RUANDA
155;SENEGAL
156;SUDÃO
157;UZBEQUISTÃO
158;ANDORRA
159;CATAR
160;CHINA
161;REPÚBLICA TCHECA
162;RÚSSIA
163;SAN MARINO
164;TAIWAN
165;BAREINE
166;BRUNEI DARUSSALAM
167;ISRAEL
168;KUAITE
169;LIECHTENSTEIN
170;NORUEGA
171;OMÃ
172;REINO UNIDO
173;SUÉCIA
174;SUÍÇA
175;HONG KONG
176;JAPÃO
177;MÔNACO
178;MONTENEGRO
179;REPÚBLICA QUIRGUIZ
180;SÉRVIA
181;SEICHELLES
182;GUADALUPE
183;REPÚBLICA DO SUDÃO DO SUL
184;NOVA CALEDÓNIA
185;ALEMANHA
186;ÁUSTRIA
187;BÉLGICA
188;CHIPRE
189;REPÚBLICA ESLOVACA
190;ESLOVÊNIA
191;ESTÔNIA
192;ESPANHA
193;FINLÂNDIA
194;FRANÇA
195;GRÉCIA
196;IRLANDA
197;ITÁLIA
198;LETÔNIA
199;LITUÂNIA
200;LUXEMBURGO
201;MALTA
202;PAÍSES BAIXOS
203;PORTUGAL
